N1.AVG_Signal	N2.AVG_Signal	CQ1.AVG_Signal	CQ2.AVG_Signal	0.1%1.AVG_Signal	0.1%2.AVG_Signal
156.9194	166.8123	150	150.7933	128.1246	156.6635
874.4504	900.873	700.1951	717.6578	508.0974	465.3551
241.7392	210.1368	236.3945	230.8808	228.5358	249.7165
3730.112	3602.953	1669.277	1819.459	2566.282	2395.406
40179.47	39876.95	39635.02	40619.65	37425.15	33844.76
124.1377	121.2644	128.8289	134.7526	110.9331	112.8417
181.9346	172.4145	185.8209	181.0935	182.3152	169.975
194.688	184.8123	205.9352	178.3562	155.8085	169.6798
110.1185	106.1151	114.6249	99.141	108.7869	92.86101
138.9302	152.3912	153.5884	142.7104	144.5706	136.145
158.3945	144.1994	166.3629	154.952	139.7899	137.2074
1315.18	1411.756	877.603	896.5068	1017.621	1042.9
152.0052	136.8389	125.1193	133.2979	114.1947	116.6426
122.2704	125.3232	109.4824	104.5177	99.61422	104.9271
156.1226	147.2045	151.3259	156.158	140.6573	158.0805
156.3157	159.4756	162.3934	149.1719	159.3647	141.1164
232.0313	216.7834	212.704	182.8025	256.6209	266.1093
2832.46	2576.073	3087.294	2852.116	1343.653	1560.315
279.6869	236.7167	153.0147	169.0245	160.4934	152.89
753.6125	746.0875	224.1884	197.4192	323.1485	285.1995
153.0132	144.602	137.1354	156.0799	144.8317	126.6547
144.0088	115.5475	109.7851	110.9699	108.2417	108.8462
184.5943	177.6328	181.0815	183.5207	169.83	177.7802
153.8369	129.0407	147.6708	123.9386	154.7195	134.1281
962.033	979.5922	554.4151	668.7521	504.3819	584.8398
358.2026	314.8725	261.6825	220.502	213.3237	229.5582
841.3514	725.1899	551.5644	515.2479	632.1898	593.248
163.6911	177.4189	212.5292	194.0754	180.4194	178.1785
542.987	571.9021	250.2386	326.872	349.0818	393.963
178.5407	173.1735	166.145	163.4796	132.1198	152.2155
125.3589	127.9786	119.6732	113.4754	116.2291	102.2322
135.0743	132.873	129.2988	130.9507	127.409	105.0593
184.2707	204.0826	193.2473	181.4114	191.6474	181.5005
1881.056	1840.163	1372.423	1049.107	1672.978	1864.154
144.9458	147.3763	144.7987	161.514	153.3465	148.237
114.5792	113.4857	109.8695	113.2305	107.7022	120.9617
171.8884	177.6452	158.1043	171.9171	162.2415	164.9683
134.914	138.7585	149.7167	154.3872	123.003	126.4327
282.3192	275.2574	875.8458	1439.665	1614.931	1572.046
16480.04	16875.44	15549.21	15673.87	12131.5	12228.41
143.7386	128.3471	133.9488	139.5982	135.4126	147.8081
133.357	134.5553	144.0804	122.8482	123.3702	135.1351
1823.46	1730.21	2187.28	1982.161	1481.112	1531.891
3341.656	3320.998	2377.581	2378.156	1310.552	1294.517
124.4319	116.4543	127.4289	119.5993	108.7209	133.395
164.0997	179.4239	172.0843	169.0629	147.3805	139.382
99.29074	98.66398	100.4324	105.5369	96.80226	88.73502
124.3885	108.884	102.8215	131.8423	119.8676	130.5068
172.703	193.4157	162.7451	167.1488	181.4002	190.1789
8330.422	8764.604	5413.337	5440.462	5615.356	5836.979
3117.415	3151.542	1873.906	1593.148	2634.298	3024.203
141.903	149.542	144.8563	149.9363	151.0621	140.3154
129.6697	124.5194	129.6899	110.2207	113.6085	116.2221
182.1209	174.6345	158.0399	162.0928	156.2075	150.2004
262.1245	257.1505	371.5564	384.6273	330.8154	346.2897
196.8067	189.9518	210.072	175.6544	157.8397	181.0085
154.0003	165.7652	142.2976	147.6474	154.3149	140.1944
378.1775	388.8185	382.8277	371.9416	354.931	367.7249
114.7806	129.8639	127.7366	135.5896	126.0977	124.0256
748.3699	757.162	696.3573	760.7237	716.0654	761.9049
185.9815	210.3538	171.6792	190.6702	174.1014	177.3077
165.5529	161.814	173.4783	168.0593	149.9508	157.6467
118.9437	115.0468	104.9117	108.1274	100.2177	105.0589
174.7181	128.5637	167.4963	156.487	141.0805	154.7856
146.1614	139.3847	136.4201	137.5852	120.9941	122.9537
165.723	170.3553	141.5131	184.4502	142.1503	162.4459
151.1916	144.2686	136.4636	148.8224	156.1579	126.3651
699.6664	689.8024	759.9919	703.9597	399.9935	375.5838
142.8413	171.5831	159.9102	186.7462	153.3638	161.3908
125.1311	121.8101	142.1977	129.1886	124.6994	130.5759
95.39546	89.99805	88.42441	98.75038	92.43398	87.0502
166.3374	161.6134	179.0912	183.8258	177.4746	157.4328
179.3452	190.6384	177.7089	196.3858	173.1439	168.8474
126.4454	121.1204	106.2747	99.77589	110.1855	101.7883
29488.54	28712.26	28137.61	28661.53	31370.58	26411.19
153.1374	135.7767	189.8297	156.0488	151.9748	161.5282
284.7145	305.5714	218.9914	230.774	233.0541	225.5535
188.64	183.1645	167.0977	174.7285	175.0622	171.039
132.6587	137.795	140.5247	135.0296	138.5441	156.0118
514.588	523.7129	210.4554	173.9241	271.8928	293.0677
48371.35	47366.99	46067.67	49189.89	44901.49	39453.68
154.1519	141.3593	146.4633	153.3109	140.4133	140.9853
883.5899	959.1255	390.4743	486.2469	526.7156	556.4868
274.1547	256.8904	235.1951	244.5793	226.7784	244.0786
126.4302	136.0208	150.995	135.7467	124.8873	142.0047
681.7969	744.7113	352.0796	370.2962	256.1618	277.9437
947.9985	943.986	1079.188	1157.227	1178.216	1185.163
165.4315	145.326	140.0059	150.5213	149.9879	161.7081
140.5911	163.9737	136.4736	154.3499	142.0531	150.2055
194.2659	178.8657	208.8904	177.0137	183.1303	187.9486
155.2163	131.9148	145.8791	169.1929	129.9895	135.227
162.1398	189.368	155.9524	136.5501	155.3653	176.0165
147.1713	152.8683	164.5112	158.5343	141.0367	130.188
906.4038	870.7822	1170.12	1032.35	3813.977	3985.844
138.3346	131.4737	130.1507	147.5437	132.4212	137.9188
172.7943	166.0068	189.0943	199.7687	205.8499	208.7285
145.9511	138.9656	144.7364	151.4711	136.3425	109.481
170.4768	157.6144	156.7914	164.5722	145.9583	148.0173
185.3723	220.7836	156.7366	157.627	163.3365	177.9422
200.8878	211.5149	219.8509	186.7301	218.4023	189.3551
318.6277	301.8487	182.8028	233.0615	248.5292	273.4658
364.5868	281.5672	211.5888	211.9189	167.5352	186.7801
141.1317	190.1695	149.0165	159.2813	140.8484	131.9715
165.3726	162.9158	172.2469	163.5318	163.1026	136.0197
359.9233	382.6237	751.4688	780.3121	287.3716	299.5646
2811.823	2973.118	1055.625	1490.641	2528.339	2311.389
122.9774	134.6621	127.4704	127.3506	114.087	127.046
143.8578	145.1454	135.0108	142.236	137.309	140.7589
161.3122	161.0758	176.0828	160.347	137.6341	143.9012
1493.771	1577.465	1458.049	1426.442	980.4625	1010.595
126.0594	129.2021	102.9937	98.38394	110.3771	107.0197
174.2354	143.784	159.2723	171.4417	160.7871	164.9991
142.8324	112.8401	110.7536	115.9414	115.9655	136.3614
315.0153	323.7018	231.3168	243.1623	205.011	198.6305
228.228	206.2734	181.4986	142.6795	348.4731	371.1773
77.08681	65.08738	90.92485	70.23405	69.02098	70.53405
646.6728	647.6968	496.2799	529.4985	327.3688	336.0627
3773.4	4121.774	2292.525	2462.046	1979.514	2296.25
155.5685	150.1976	133.9411	136.4073	138.3264	126.1713
165.9857	142.4047	145.5618	146.5414	155.75	147.2096
1525.89	1526.499	2973.904	2984.266	1226.962	1301.265
89.11832	82.62559	83.57192	94.31239	76.80406	79.25367
572.0344	573.0424	524.3084	353.772	723.3207	765.5915
1433.086	1217.698	575.1724	502.5783	998.7283	1004.628
594.3264	599.7168	236.0299	240.3809	273.6259	309.4261
301.8388	348.7695	442.2289	393.6255	892.1199	835.165
169.6534	154.3115	154.2894	167.421	145.996	163.5284
126.5351	144.9695	138.3337	147.8723	133.8783	127.3868
125.3202	137.3247	134.8936	127.5955	128.4704	122.9088
131.4242	148.9158	147.9822	147.3714	128.3149	139.2974
94.54591	89.44026	99.05212	88.25835	93.41299	79.38665
310.1855	299.5638	465.6712	325.893	247.8241	227.5177
150.5197	156.3085	147.1861	129.5522	133.4078	122.2942
164.1117	160.3819	139.0162	155.2129	149.5145	140.194
551.1994	535.7818	377.8338	414.6201	327.5858	348.6474
159.3964	168.2114	160.739	183.2189	143.3737	138.058
661.7001	691.3224	402.5458	400.3015	428.444	486.5439
306.6583	324.6673	345.5885	332.9974	277.5946	291.5923
140.1341	148.0999	141.0755	153.2028	145.9833	144.0604
175.2615	175.6288	134.0859	146.6139	137.4637	137.8505
109.5277	121.746	109.9819	107.4898	111.9285	102.9725
154.6231	146.5836	153.6583	127.0285	128.9931	143.5596
145.7813	148.626	164.0142	168.2455	136.8494	146.0107
205.1166	171.5943	237.9038	240.3869	136.8058	144.4662
380.3326	349.332	228.3958	209.3763	284.3374	292.3897
409.8709	409.6657	311.7067	360.7551	245.434	263.1243
117.3541	111.1058	117.6011	122.3019	111.6595	129.6981
336.3232	351.1913	203.4743	204.4609	201.4006	183.5556
146.3921	149.705	180.0134	162.8499	142.0504	144.4039
1532.625	1537.128	524.7993	499.1083	627.9545	673.1085
128.7442	137.7476	132.9148	126.3291	120.9957	125.4362
3112.273	3653.477	13242.46	13659.85	3096.452	2773.108
1218.362	1201.371	841.6337	624.327	848.1287	812.1067
510.5458	462.105	220.2751	213.1478	424.379	411.4526
133.0578	121.9967	148.1279	127.9655	117.044	143.8977
301.3309	305.8495	343.0437	328.1985	281.4068	301.2701
273.8373	284.4898	400.4069	461.778	389.3557	373.439
210.3645	246.4093	846.0057	649.0131	279.4303	255.0077
150.5658	146.873	142.4147	143.0257	151.5014	130.2809
122.4359	115.9363	115.9658	122.8366	119.3997	116.2897
168.535	165.0727	160.8476	174.8308	160.0395	143.3651
136.653	149.9887	140.2685	140.2589	138.3866	151.4696
428.1315	432.0868	295.1465	436.9042	227.6675	263.3575
367.4079	376.95	212.3206	174.7783	222.9958	229.0807
124.3863	142.5089	148.3087	131.9783	158.6476	147.2883
109.0817	125.5099	104.2343	117.5442	109.8226	111.7954
123.3284	141.3699	116.3144	141.9303	152.3571	136.7633
158.4291	166.6511	152.0282	169.4045	156.4642	144.2999
198.9667	208.5889	179.6698	187.8071	183.967	193.6131
16247.87	15534.71	4187.947	6302.848	9339.4	9055.993
886.156	973.0264	968.4515	766.9075	1135.446	1027.916
158.4033	158.4888	172.8842	143.2459	152.435	148.2905
156.7446	169.9765	147.2204	184.5611	147.7305	171.4243
235.4202	241.6505	194.6541	222.2226	189.9309	194.8386
128.2417	124.437	102.8786	112.2334	123.9475	121.2748
153.6923	157.7398	148.889	143.8145	152.3914	153.7518
227.269	224.6633	200.6819	186.7408	204.675	222.0651
271.6479	265.8945	270.8981	255.0699	248.4295	247.5634
144.753	157.6999	155.3586	151.4764	130.8741	121.491
158.4128	167.841	168.4955	184.0228	148.2181	167.6078
161.3025	178.5674	145.26	149.1109	142.2035	144.5217
481.0134	557.7888	429.9234	330.6801	515.9771	529.136
188.0411	146.3315	136.3952	153.0078	140.987	149.1429
147.9345	152.6372	157.0837	130.063	128.8925	145.9517
102.6128	119.7558	126.2963	124.0253	100.7283	121.1898
167.2509	175.8512	154.1214	158.9752	159.6604	159.4297
120.8388	123.6862	113.0183	108.1915	101.0849	121.8873
144.8017	135.37	157.8342	142.615	146.599	133.1132
132.161	175.4996	165.0128	148.5354	139.7089	148.8253
150.6374	154.7659	151.3826	140.2124	146.5179	133.0344
165.6163	161.1484	158.0099	163.3848	154.7962	140.2812
88.99731	91.30759	117.7438	123.9707	99.7564	91.15521
161.8962	145.2129	141.5274	145.5706	124.7688	127.7066
154.472	129.6984	154.5119	119.128	120.2989	135.0674
172.3697	163.7796	128.6167	130.9329	144.7142	142.5634
2531.056	2420.27	1976.16	1926.711	2048.115	1988.896
136.5014	133.7751	114.9087	129.8154	134.1041	119.2569
107.1252	108.7758	124.3751	109.5183	118.1508	111.036
105.4124	87.55791	101.5001	91.68569	102.2229	98.67907
